experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,702,0.9552546997216884,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,43,0.6216389427115018,stagnation
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,702,1.7748592020835472,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,701,0.8259813409273172,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,702,0.6689122739076785,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,1,22,1.6044143996585483e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,701,0.6590762743628928,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,701,0.8614965003939726,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.02,21,3,0.14285714285714285,0,702,0.8537094342622181,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,16,3.9546446837978596e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,12,3.069501394862193e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,0,702,1.080400187124365,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,8,2.66542453279166e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,14,1.8095256051460114e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,17,3.0511736054084056e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,39,3.2581170017322844e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,18,3.696367634109855e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,15,3.074890597943489e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,4,0.0975609756097561,1,14,1.665904463424414e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,18,2.873069773011752e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,19,3.4140065467390096e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,18,1.975352799610967e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,34,2.9389372671267048e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,0,31,0.9183598141212879,stagnation
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,14,2.024169173755944e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,36,2.7352564136480123e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,0,47,0.9584788448033282,stagnation
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,0,47,0.900681068600939,stagnation
weak_phase,SNIHT,gaussian,1,0.04,41,5,0.12195121951219512,1,12,3.357189331864141e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,701,1.2070352509260038,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,701,0.9897086579735832,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,31,1.300572949007668,stagnation
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,44,0.8746530300243182,stagnation
