algorithm,bound_model,delta,rho,mu_at_rho
SIHT,surrogate_arip_v1,0.83,0.005413763225078583,0.9999997746706557
SIHT,surrogate_arip_v1,0.84,0.005506835877895355,0.9999997153234029
SIHT,surrogate_arip_v1,0.85,0.005600370466709137,0.9999999352767179
SIHT,surrogate_arip_v1,0.86,0.005694352090358734,0.9999994044827161
SIHT,surrogate_arip_v1,0.87,0.005788795650005341,0.9999999882686084
SIHT,surrogate_arip_v1,0.88,0.0058836787939071655,0.9999999407137071
SIHT,surrogate_arip_v1,0.89,0.005979001522064209,0.9999996792931617
SIHT,surrogate_arip_v1,0.9,0.006074763834476471,0.9999995901658408
SIHT,surrogate_arip_v1,0.91,0.0061709582805633545,0.9999993657596935
SIHT,surrogate_arip_v1,0.92,0.00626758486032486,0.9999993669181718
SIHT,surrogate_arip_v1,0.93,0.006364643573760986,0.9999999278031466
SIHT,surrogate_arip_v1,0.94,0.006462112069129944,0.9999994536100627
SIHT,surrogate_arip_v1,0.95,0.006560005247592926,0.9999995663404113
SIHT,surrogate_arip_v1,0.96,0.006658315658569336,0.999999940291244
SIHT,surrogate_arip_v1,0.97,0.00675702840089798,0.9999996574503123
SIHT,surrogate_arip_v1,0.98,0.006856150925159454,0.9999996435436336
SIHT,surrogate_arip_v1,0.99,0.006955675780773163,0.9999995883399121
SNIHT,surrogate_arip_v1,0.01,3.919005393981934e-06,0.9999945331983835
SNIHT,surrogate_arip_v1,0.02,9.045004844665527e-06,0.9999027143074996
SNIHT,surrogate_arip_v1,0.03,1.4893710613250732e-05,0.9997510047638143
SNIHT,surrogate_arip_v1,0.04,2.133101224899292e-05,0.9998477422258795
SNIHT,surrogate_arip_v1,0.05,2.8274953365325928e-05,0.999939501180573
SNIHT,surrogate_arip_v1,0.06,3.5665929317474365e-05,0.9998858860872123
SNIHT,surrogate_arip_v1,0.07,4.348158836364746e-05,0.9999470277273365
SNIHT,surrogate_arip_v1,0.08,5.1684677600860596e-05,0.9999663492001944
SNIHT,surrogate_arip_v1,0.09,6.0252845287323e-05,0.9999592473688292
SNIHT,surrogate_arip_v1,0.1,6.917119026184082e-05,0.9999634332251961
SNIHT,surrogate_arip_v1,0.11,7.842481136322021e-05,0.9999788444465265
SNIHT,surrogate_arip_v1,0.12,8.799880743026733e-05,0.99999131653024
SNIHT,surrogate_arip_v1,0.13,9.787827730178833e-05,0.9999825242664238
SNIHT,surrogate_arip_v1,0.14,0.00010805577039718628,0.9999732889008045
SNIHT,surrogate_arip_v1,0.15,0.00011852383613586426,0.9999722673432226
SNIHT,surrogate_arip_v1,0.16,0.00012927502393722534,0.9999813774476599
SNIHT,surrogate_arip_v1,0.17,0.0001403018832206726,0.9999988668136874
SNIHT,surrogate_arip_v1,0.18,0.0001515895128250122,0.9999931798949285
SNIHT,surrogate_arip_v1,0.19,0.00016313791275024414,0.9999916205444823
SNIHT,surrogate_arip_v1,0.2,0.00017493963241577148,0.9999886738121
SNIHT,surrogate_arip_v1,0.21,0.00018698722124099731,0.9999790073046229
SNIHT,surrogate_arip_v1,0.22,0.00019928067922592163,0.9999788431848807
SNIHT,surrogate_arip_v1,0.23,0.00021182000637054443,0.9999997856177667
