algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SNIHT,dct,10,0.35,45,21,23,0.5111111111111111,all_success_fallback
SNIHT,dct,10,0.55,71,34,36,0.0,logistic_fit
SNIHT,dct,10,0.75,96,47,49,0.47628149813954285,logistic_fit
SNIHT,dct,10,0.9,116,57,59,0.4940021370364988,logistic_fit
SNHTP,dct,1,0.15,20,2,4,0.15902272760666847,logistic_fit
SNHTP,dct,1,0.35,45,10,12,0.26666666666666666,all_success_fallback
SNHTP,dct,1,0.55,71,25,27,0.3756793939077933,logistic_fit
SNHTP,dct,1,0.75,96,47,49,1.0,logistic_fit
SNHTP,dct,1,0.9,116,85,87,1.0,logistic_fit
SNHTP,dct,2,0.15,20,4,6,0.2753138888987733,logistic_fit
SNHTP,dct,2,0.35,45,15,17,0.3907379971273324,logistic_fit
SNHTP,dct,2,0.55,71,34,36,0.4831584189320031,logistic_fit
SNHTP,dct,2,0.75,96,70,72,0.0,logistic_fit
SNHTP,dct,2,0.9,116,114,115,0.9870686093653281,logistic_fit
SNHTP,dct,5,0.15,20,9,11,0.4434385544550058,logistic_fit
SNHTP,dct,5,0.35,45,21,23,1.0,logistic_fit
SNHTP,dct,5,0.55,71,51,53,0.7101426684539203,logistic_fit
SNHTP,dct,5,0.75,96,82,84,1.0,logistic_fit
SNHTP,dct,5,0.9,116,114,115,1.0,logistic_fit
SNHTP,dct,10,0.15,20,9,11,0.49999999996190037,logistic_fit
SNHTP,dct,10,0.35,45,21,23,0.5111111111111111,all_success_fallback
SNHTP,dct,10,0.55,71,51,53,1.0,logistic_fit
SNHTP,dct,10,0.75,96,94,95,0.9801672409902438,logistic_fit
SNHTP,dct,10,0.9,116,114,115,0.9913793103448276,all_success_fallback
SCoSaMP,dct,1,0.15,20,4,6,0.1999999999823566,logistic_fit
SCoSaMP,dct,1,0.35,45,15,17,0.30617656985670916,logistic_fit
SCoSaMP,dct,1,0.55,71,25,27,1.0,logistic_fit
SCoSaMP,dct,1,0.75,96,58,60,0.591442405022279,logistic_fit
SCoSaMP,dct,1,0.9,116,85,87,1.0,logistic_fit
SCoSaMP,dct,2,0.15,20,4,6,0.29799776562027946,logistic_fit
SCoSaMP,dct,2,0.35,45,21,23,0.0,logistic_fit
SCoSaMP,dct,2,0.55,71,34,36,1.0,logistic_fit
SCoSaMP,dct,2,0.75,96,58,60,1.0,logistic_fit
SCoSaMP,dct,2,0.9,116,114,115,0.9870696348174413,logistic_fit
SCoSaMP,dct,5,0.15,20,9,11,0.4909783381325236,logistic_fit
SCoSaMP,dct,5,0.35,45,26,28,0.6009932032699539,logistic_fit
SCoSaMP,dct,5,0.55,71,42,44,1.0,logistic_fit
SCoSaMP,dct,5,0.75,96,94,95,0.0,all_failure_fallback
SCoSaMP,dct,5,0.9,116,114,115,0.9913793103448276,all_success_fallback
SCoSaMP,dct,10,0.15,20,9,11,1.0,logistic_fit
SCoSaMP,dct,10,0.35,45,26,28,1.0,logistic_fit
SCoSaMP,dct,10,0.55,71,44,46,0.6235599954904573,logistic_fit
SCoSaMP,dct,10,0.75,96,94,95,1.0,logistic_fit
SCoSaMP,dct,10,0.9,116,114,115,0.9913793103448276,all_success_fallback
