experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.9,116,14,0.1206896551724138,1,12,0.0006352402180920338,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,0,15,0.0007389035591896763,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,14,0.000654036382356347,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,14,0.0005585964930258899,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,13,0.0006196276069978512,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,13,0.000718276492220227,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,12,0.0007961130969380791,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,0,14,0.0008767152219614882,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,14,0.0006647847238975815,residual_small
weak_phase,SNIHT,gaussian,2,0.15,20,4,0.2,0,701,0.7240581994369854,slow_late_rate
weak_phase,SNIHT,gaussian,2,0.15,20,4,0.2,0,29,0.9215714988133097,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,4,0.2,1,16,0.00014600549625170417,residual_small
weak_phase,SNIHT,gaussian,2,0.15,20,4,0.2,1,18,0.00010433564522832813,residual_small
weak_phase,SNIHT,gaussian,2,0.15,20,5,0.25,0,701,1.1139221131392092,slow_late_rate
weak_phase,SNIHT,gaussian,2,0.15,20,5,0.25,0,43,1.0286303586291072,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,5,0.25,1,26,9.637655703334045e-05,residual_small
weak_phase,SNIHT,gaussian,2,0.15,20,5,0.25,0,37,0.9432420211935395,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,6,0.3,0,49,1.124573545703735,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,6,0.3,0,64,0.938076068680691,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,6,0.3,0,68,0.8920023328107417,stagnation
weak_phase,SNIHT,gaussian,2,0.15,20,6,0.3,0,43,0.5878623365766872,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,15,0.3333333333333333,0,53,1.5608144171715184,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,15,0.3333333333333333,1,36,0.0003479508571035696,residual_small
weak_phase,SNIHT,gaussian,2,0.35,45,15,0.3333333333333333,0,52,1.1307529329098331,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,15,0.3333333333333333,1,43,0.00028512551565429504,residual_small
weak_phase,SNIHT,gaussian,2,0.35,45,16,0.35555555555555557,0,43,1.3857996886453885,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,16,0.35555555555555557,1,50,0.00034617982347997085,residual_small
weak_phase,SNIHT,gaussian,2,0.35,45,16,0.35555555555555557,0,71,0.8459489789509487,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,16,0.35555555555555557,0,49,1.4970648977783487,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,17,0.37777777777777777,0,48,1.1568835370427233,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,17,0.37777777777777777,0,44,1.04445470000684,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,17,0.37777777777777777,0,72,1.1471511570866662,stagnation
weak_phase,SNIHT,gaussian,2,0.35,45,17,0.37777777777777777,0,60,1.2647008611805666,stagnation
weak_phase,SNIHT,gaussian,2,0.55,71,21,0.29577464788732394,1,34,0.0004983181461056187,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,21,0.29577464788732394,1,37,0.0005219450582917213,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,21,0.29577464788732394,1,49,0.00041932641044575944,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,21,0.29577464788732394,1,27,0.0004909036285962185,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,22,0.30985915492957744,1,41,0.0004568172050112914,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,22,0.30985915492957744,0,42,0.0005111839157930163,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,22,0.30985915492957744,1,34,0.0005266967660656454,residual_small
