algorithm,bound_model,delta,rho,mu_at_rho
SCoSaMP,surrogate_arip_v1,0.25,0.000461772084236145,0.9999991357359471
SCoSaMP,surrogate_arip_v1,0.3,0.0005944520235061646,0.9999974926749742
SCoSaMP,surrogate_arip_v1,0.35,0.0007371678948402405,0.9999963343478383
SCoSaMP,surrogate_arip_v1,0.4,0.0008891820907592773,0.9999981986165658
SCoSaMP,surrogate_arip_v1,0.45,0.0010498613119125366,0.9999991456801788
SCoSaMP,surrogate_arip_v1,0.5,0.001218654215335846,0.9999977070220889
SCoSaMP,surrogate_arip_v1,0.55,0.0013950839638710022,0.9999999683396266
SCoSaMP,surrogate_arip_v1,0.6,0.00157870352268219,0.999998950526297
SCoSaMP,surrogate_arip_v1,0.65,0.0017691254615783691,0.9999989021968344
SCoSaMP,surrogate_arip_v1,0.7,0.0019659847021102905,0.9999974173366685
SCoSaMP,surrogate_arip_v1,0.75,0.0021689608693122864,0.9999985098756203
SCoSaMP,surrogate_arip_v1,0.8,0.002377741038799286,0.9999986330195405
SCoSaMP,surrogate_arip_v1,0.85,0.002592049539089203,0.9999998840712785
SCoSaMP,surrogate_arip_v1,0.9,0.002811610698699951,0.9999979963708782
SCoSaMP,surrogate_arip_v1,0.95,0.003036201000213623,0.9999989635616718
